run_id,machine_id,run_log_file,algo,seed,env_name,os_name,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,learning_rate_schedule,batch_size,buffer_size,normalize,hidden_units,num_layers,vis_encode_type,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,save_replay_buffer,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,time_to_convergence,steps_to_convergence
filippomorini_macOS_ppo_d7fe253857,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_d7fe253857\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.5,992.78,21.62,1134.52,0.0003,linear,32,202432,False,121,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,555.693,100.0,0.0,550.201,1450000
filippomorini_macOS_ppo_e6b1d201c6,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_e6b1d201c6\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.4,835.27,21.37,890.22,0.0003,linear,32,98400,False,74,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,310.157,100.0,0.0,304.722,810000
filippomorini_macOS_ppo_e862c312ed,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_e862c312ed\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.44,775.74,20.67,800.97,0.0003,linear,32,61888,False,76,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,240.167,100.0,0.0,205.337,510000
filippomorini_macOS_ppo_ec235ec93f,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_ec235ec93f\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.64,1197.42,19.33,1533.5,0.0003,linear,32,399488,False,113,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1100.143,100.0,0.0,1094.696,2900000
filippomorini_macOS_ppo_ef1b4b838d,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_ef1b4b838d\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.86,724.26,18.69,734.61,0.0003,linear,32,34848,False,127,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,164.205,100.0,0.0,155.089,400000
filippomorini_macOS_ppo_f04855adee,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_f04855adee\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.62,1055.91,20.49,1347.41,0.0003,linear,32,337312,False,107,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1056.198,100.0,0.0,1050.822,2730000
filippomorini_macOS_ppo_f2464c0b15,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_f2464c0b15\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.68,1194.64,22.41,1496.64,0.0003,linear,32,345536,False,70,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,854.908,100.0,0.0,849.573,2200000
filippomorini_macOS_ppo_f46d566303,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_f46d566303\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.57,1174.41,19.49,1450.86,0.0003,linear,32,331840,False,95,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,969.408,100.0,0.0,963.98,2360000
filippomorini_macOS_ppo_f915bb78b1,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_f915bb78b1\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,16.66,934.97,21.29,1025.83,0.0003,linear,32,150080,False,88,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,531.161,100.0,0.0,477.42,1100000
filippomorini_macOS_ppo_f921b9d887,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_f921b9d887\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.78,929.7,18.8,1027.91,0.0003,linear,32,157792,False,87,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,487.175,100.0,0.0,442.042,1170000
filippomorini_macOS_ppo_fe4742368f,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_fe4742368f\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.68,1020.52,21.17,1173.17,0.0003,linear,32,213632,False,71,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,615.546,100.0,0.0,557.504,1410000
filippomorini_macOS_sac_034a790096,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_sac_034a790096\run_logs\run_log.csv,sac,NA,3DBall,macOS,10,10,0.0,16384.0,11.26,1846.5,23.96,1955.17,0.0003,linear,64,617600,False,182,3,simple,0.817805190526165,1.0,5,10000000,1898,50000,8289,0.009487785403147441,10.0,False,0.7244913003572728,19.0,NA,NA,NA,NA,7090.858,100.0,0.0,319.619,450000
filippomorini_macOS_sac_05aef13e4c,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_sac_05aef13e4c\run_logs\run_log.csv,sac,NA,3DBall,macOS,10,10,0.0,16384.0,11.93,1915.19,24.34,2035.44,0.0003,linear,64,620928,False,265,3,simple,0.9337687579413874,1.0,5,10000000,2026,50000,8977,0.007215385253858345,13.0,False,0.5863838931885306,5.0,NA,NA,NA,NA,2816.732,100.0,0.0,194.587,250000
