seed,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,batch_size,buffer_size,hidden_units,num_layers,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,steps_to_convergence,algo_sac,os_name_Windows,os_name_macOS,time_to_convergence,converged
0.0,8,8,3.2,8192.0,19.99,798.24,25.91,1156.72,0.0003,32.0,382208.0,83.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,5744.896,100.0,0.0,2320000.0,False,False,True,1361.282,1
0.0,8,8,3.2,8192.0,19.75,802.89,22.25,961.48,0.0003,32.0,231008.0,115.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1151.493,84.409,32.566,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.71,765.54,21.76,896.67,0.0003,32.0,202080.0,98.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1089.45,100.0,0.0,1680000.0,False,False,True,935.442,1
0.0,8,8,3.2,8192.0,19.63,800.59,22.02,967.62,0.0003,32.0,255520.0,78.0,3.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1120.294,90.04,25.871,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.51,862.55,21.34,1245.45,0.0003,32.0,424064.0,123.0,1.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1077.052,3.029,2.394,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,20.07,816.71,26.16,1133.67,0.0003,32.0,336544.0,73.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,5280.702,100.0,0.0,2500000.0,False,False,True,1348.177,1
0.0,8,8,3.2,8192.0,19.92,863.91,22.36,1236.45,0.0003,32.0,445888.0,116.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,5805.511,100.0,0.0,2900000.0,False,False,True,1696.3,1
0.0,8,8,3.2,8192.0,19.69,677.16,26.18,858.28,0.0003,32.0,224288.0,78.0,1.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1093.459,76.5,27.928,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.71,765.31,21.52,1027.97,0.0003,32.0,337472.0,67.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1094.118,10.477,9.464,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.81,504.47,22.93,556.95,0.0003,32.0,46912.0,71.0,3.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1154.658,100.0,0.0,420000.0,False,False,True,244.517,1
